# HallCalibrationCurve

idn                           	34
date                          	2020-07-30
hour                          	00:00:00
calibration_name              	2020-07-30_Probe133-14Z_0.7T
probe_name                    	133-14Z
calibration_magnet            	CalibrationDipole
function_type                 	polynomial
voltage_min                   	-4.0
voltage_max                   	4.0
voltage_offset                	0.000661
polynomial_coeffs             	[0.0,0.19999065426709878,5.197683451803138e-06,4.10528533920031e-05]

voltage	magnetic_field	probe_temperature	electronic_box_temperature
----------------------------------------------------------------------------------------
-3.2057553626e+00	-6.4241872000e-01	+2.4277213500e+01	+2.7815218500e+01
-3.1222727523e+00	-6.2563200333e-01	+2.4087963500e+01	+2.7757344000e+01
-3.0393292390e+00	-6.0894233333e-01	+2.4039963500e+01	+2.7763031500e+01
-2.9586801579e+00	-5.9271404667e-01	+2.4031088500e+01	+2.7751531500e+01
-2.8739826030e+00	-5.7567836522e-01	+2.4245276000e+01	+2.7706406500e+01
-2.7911453205e+00	-5.5902837083e-01	+2.4169463500e+01	+2.7716719000e+01
-2.7108027373e+00	-5.4290730833e-01	+2.4100776000e+01	+2.7715969000e+01
-2.6276177684e+00	-5.2621225417e-01	+2.4084213500e+01	+2.7718406500e+01
-2.5356075543e+00	-5.0774760417e-01	+2.4088401000e+01	+2.7703031500e+01
-2.4409849772e+00	-4.8872947500e-01	+2.4105338500e+01	+2.7687906500e+01
-2.3389490376e+00	-4.6827562442e-01	+2.4403153000e+01	+2.7664719000e+01
-2.2339052041e+00	-4.4720387907e-01	+2.4340778000e+01	+2.7652031500e+01
-2.1071312264e+00	-4.2177712644e-01	+2.4258026000e+01	+2.7643406500e+01
-1.9960303188e+00	-3.9949719651e-01	+2.4216151000e+01	+2.7644406500e+01
-1.8700267404e+00	-3.7425036897e-01	+2.4187526000e+01	+2.7647156500e+01
-1.7532398421e+00	-3.5085341379e-01	+2.4163588500e+01	+2.7647469000e+01
-1.6472982662e+00	-3.2962787816e-01	+2.4184838500e+01	+2.7657656500e+01
-1.5283969562e+00	-3.0581381494e-01	+2.4187026000e+01	+2.7697906500e+01
-1.4212044426e+00	-2.8434859885e-01	+2.4205963500e+01	+2.7675594000e+01
-1.3139592690e+00	-2.6287910235e-01	+2.4211463500e+01	+2.7675344000e+01
-1.2038056176e+00	-2.4081628023e-01	+2.3607088000e+01	+2.7543656500e+01
-1.1060600275e+00	-2.2125423837e-01	+2.3586088000e+01	+2.7562031500e+01
-1.0080770869e+00	-2.0164630698e-01	+2.3577275500e+01	+2.7574469000e+01
-8.9734397407e-01	-1.7949270930e-01	+2.3546025500e+01	+2.7580719000e+01
-8.1132129377e-01	-1.6228507500e-01	+2.3548088000e+01	+2.7596969000e+01
-7.1276780994e-01	-1.4257080000e-01	+2.3550150500e+01	+2.7584969000e+01
-6.1411350784e-01	-1.2283411860e-01	+2.3574213000e+01	+2.7570156500e+01
-5.2787671839e-01	-1.0558281279e-01	+2.3586275500e+01	+2.7577469000e+01
+5.4216415649e-01	+1.0842764186e-01	+2.3571275500e+01	+2.7595781500e+01
+6.2831120806e-01	+1.2566052674e-01	+2.3580838000e+01	+2.7588719000e+01
+7.2639145000e-01	+1.4528209767e-01	+2.3567588000e+01	+2.7601156500e+01
+8.2415404705e-01	+1.6483951395e-01	+2.3548400500e+01	+2.7597031500e+01
+9.0889204906e-01	+1.8179693953e-01	+2.3521088000e+01	+2.7574219000e+01
+1.0169622621e+00	+2.0342415357e-01	+2.3483713000e+01	+2.7559594000e+01
+1.1118211649e+00	+2.2241238837e-01	+2.3454650500e+01	+2.7560906500e+01
+1.2050768334e+00	+2.4107924253e-01	+2.3453150500e+01	+2.7574719000e+01
+1.3364119516e+00	+2.6737666322e-01	+2.4219526000e+01	+2.7655531500e+01
+1.4459227189e+00	+2.8930351264e-01	+2.4218901000e+01	+2.7633031500e+01
+1.5548049804e+00	+3.1110579885e-01	+2.4205901000e+01	+2.7612594000e+01
+1.6750625973e+00	+3.3519514598e-01	+2.4148463500e+01	+2.7605594000e+01
+1.7820250186e+00	+3.5662724598e-01	+2.4091776000e+01	+2.7615469000e+01
+1.8993686165e+00	+3.8014644524e-01	+2.3990463500e+01	+2.7604281500e+01
+2.0251216189e+00	+4.0534710460e-01	+2.3887588500e+01	+2.7605219000e+01
+2.1337840319e+00	+4.2714134070e-01	+2.3730400000e+01	+2.7620219000e+01
+2.2514818703e+00	+4.5075309186e-01	+2.3670150000e+01	+2.7620406500e+01
+2.3414625227e+00	+4.6881160000e-01	+2.3608275500e+01	+2.7568844000e+01
+2.4517918405e+00	+4.9098508750e-01	+2.4491715500e+01	+2.7687156500e+01
+2.5353955194e+00	+5.0776711667e-01	+2.4432653000e+01	+2.7683969000e+01
+2.6435850668e+00	+5.2948596250e-01	+2.4347840500e+01	+2.7687719000e+01
+2.7220595759e+00	+5.4525158750e-01	+2.4315338000e+01	+2.7673406500e+01
+2.7977339989e+00	+5.6044297083e-01	+2.4328903000e+01	+2.7671781500e+01
+2.8742285178e+00	+5.7580127500e-01	+2.4365653000e+01	+2.7665781500e+01
+2.9568923805e+00	+5.9250703333e-01	+2.4068651000e+01	+2.7752219000e+01
+3.0385498307e+00	+6.0892454643e-01	+2.4114588500e+01	+2.7755156500e+01
+3.1217548323e+00	+6.2562942000e-01	+2.4131588500e+01	+2.7722531500e+01
+3.2060084262e+00	+6.4256627333e-01	+2.4168588500e+01	+2.7729094000e+01
