# HallCalibrationCurve

idn                           	12
date                          	2020-05-11
hour                          	00:00:00
calibration_name              	2020-05-11_Probe133-14X_BySenis_2T
probe_name                    	133-14X
calibration_magnet            	ElectromagnetBrukerBM6
function_type                 	polynomial
voltage_min                   	-10.0
voltage_max                   	10.0
voltage_offset                	-0.000181
polynomial_coeffs             	[0.0,0.19956611429394305,0.0,2.912046723946713e-05,0.0,-7.084865638236985e-07,0.0,4.995168583505256e-09]
probe_temperature             	[]
electronic_box_temperature    	[]

voltage	magnetic_field
----------------------------------------------------------------------------------------
-9.6647290000e+00	-1.9344460000e+00
-9.0056890000e+00	-1.8007880000e+00
-8.5177790000e+00	-1.7022550000e+00
-7.5200090000e+00	-1.5025850000e+00
-6.2631190000e+00	-1.2520770000e+00
-5.0133190000e+00	-1.0023760000e+00
-3.7662290000e+00	-7.5261400000e-01
-2.5349190000e+00	-5.0606500000e-01
-1.2570690000e+00	-2.5086200000e-01
-5.0499900000e-01	-1.0081300000e-01
+5.0941100000e-01	+1.0160500000e-01
+1.2660810000e+00	+2.5275800000e-01
+2.5106010000e+00	+5.0141700000e-01
+3.7512010000e+00	+7.4971500000e-01
+5.0223410000e+00	+1.0044190000e+00
+6.2653410000e+00	+1.2526690000e+00
+7.5079310000e+00	+1.5003250000e+00
+8.5221910000e+00	+1.7032420000e+00
+9.0372510000e+00	+1.8071230000e+00
